# Kpath    Energy-Level (in eV)
  2.732   -15.078   -10.508    -8.914    -2.586     2.805     9.355    10.173    11.379
  2.773   -15.340   -10.268    -8.687    -2.864     3.125     8.978     9.884    10.998
  2.814   -15.596   -10.021    -8.453    -3.138     3.453     8.611     9.578    10.627
  2.856   -15.845    -9.768    -8.214    -3.409     3.786     8.255     9.265    10.267
  2.897   -16.088    -9.508    -7.971    -3.675     4.125     7.911     8.952     9.919
  2.938   -16.323    -9.242    -7.723    -3.935     4.471     7.578     8.642     9.583
  2.980   -16.550    -8.971    -7.473    -4.189     4.821     7.258     8.339     9.258
  3.021   -16.770    -8.694    -7.220    -4.436     5.176     6.949     8.043     8.946
  3.063   -16.982    -8.412    -6.965    -4.676     5.536     6.652     7.757     8.647
  3.104   -17.186    -8.125    -6.709    -4.907     5.896     6.367     7.481     8.360
  3.145   -17.381    -7.833    -6.453    -5.131     6.095     6.259     7.215     8.085
  3.187   -17.568    -7.538    -6.199    -5.346     5.835     6.621     6.961     7.823
  3.228   -17.746    -7.240    -5.946    -5.552     5.588     6.718     6.982     7.574
  3.270   -17.916    -6.940    -5.749    -5.696     5.353     6.486     7.337     7.342
  3.311   -18.077    -6.638    -5.937    -5.449     5.131     6.267     7.114     7.699
  3.352   -18.229    -6.335    -6.114    -5.207     4.921     6.059     6.902     8.051
  3.394   -18.372    -6.282    -6.032    -4.972     4.724     5.864     6.704     8.399
  3.435   -18.506    -6.439    -5.731    -4.743     4.540     5.681     6.519     8.741
  3.476   -18.631    -6.587    -5.433    -4.523     4.368     5.510     6.346     8.992
  3.518   -18.747    -6.724    -5.140    -4.312     4.209     5.352     6.186     8.892
  3.559   -18.854    -6.850    -4.854    -4.113     4.063     5.206     6.039     8.802
  3.601   -18.952    -6.966    -4.576    -3.925     3.929     5.073     5.904     8.725
  3.642   -19.041    -7.070    -4.309    -3.751     3.809     4.952     5.783     8.714
  3.683   -19.120    -7.165    -4.057    -3.591     3.700     4.845     5.674     8.663
  3.725   -19.190    -7.248    -3.824    -3.448     3.605     4.749     5.578     8.602
  3.766   -19.251    -7.320    -3.610    -3.321     3.522     4.666     5.495     8.551
  3.807   -19.302    -7.381    -3.421    -3.211     3.452     4.597     5.425     8.502
  3.849   -19.344    -7.431    -3.260    -3.120     3.395     4.539     5.367     8.468
  3.890   -19.377    -7.470    -3.130    -3.049     3.350     4.495     5.322     8.463
  3.932   -19.400    -7.498    -3.034    -2.998     3.319     4.463     5.290     8.432
  3.973   -19.414    -7.515    -2.976    -2.967     3.300     4.444     5.271     8.413
  4.014   -19.419    -7.520    -2.957    -2.957     3.293     4.438     5.265     8.408
