# Kpath    Energy-Level (in eV)
# Band    1
  3.270        -5.696
  3.228        -5.552
  3.187        -5.346
  3.145        -5.131
  3.104        -4.907
  3.063        -4.676
  3.021        -4.436
  2.980        -4.189
  2.938        -3.935
  2.897        -3.675
  2.856        -3.409
  2.814        -3.138
  2.773        -2.864
  2.732        -2.586
  2.690        -2.306
  2.649        -2.025
  2.607        -1.744
  2.566        -1.465
  2.525        -1.190
  2.483        -0.919
  2.442        -0.656
  2.400        -0.401
  2.359        -0.156
  2.318         0.076
  2.318         0.076
  2.275        -0.150
  2.233        -0.365
  2.190        -0.569
  2.148        -0.762
  2.106        -0.944
  2.063        -1.116
  2.021        -1.275
  1.978        -1.422
  1.936        -1.559
  1.894        -1.683
  1.851        -1.797
  1.809        -1.898
  1.766        -1.987
  1.724        -2.065
  1.681        -2.130
  1.639        -2.184
  1.597        -2.226
  1.554        -2.256
  1.512        -2.274
  1.469        -2.280
  1.469        -2.280
  1.427        -2.311
  1.385        -2.402
  1.343        -2.544
  1.301        -2.724
  1.259        -2.931
  1.217        -3.158
  1.175        -3.396
  1.134        -3.640
  1.092        -3.886
  1.050        -4.133
  1.008        -4.376
  0.966        -4.614
  0.924        -4.847
  0.882        -5.073
  0.840        -5.291
  0.798        -5.171
  0.756        -5.033
  0.714        -4.891
  0.672        -4.744
  0.630        -4.594
  0.588        -4.442
  0.546        -4.289
  0.504        -4.135
  0.462        -3.984
  0.420        -3.836
  0.378        -3.693
  0.336        -3.556
  0.294        -3.429
  0.252        -3.313
  0.210        -3.209
  0.168        -3.122
  0.126        -3.050
  0.084        -2.999
  0.042        -2.967
  0.000        -2.957
# Band    5
  0.000         3.293
  0.042         3.300
  0.084         3.319
  0.126         3.352
  0.168         3.398
  0.210         3.457
  0.252         3.529
  0.294         3.614
  0.336         3.712
  0.378         3.823
  0.420         3.948
  0.462         4.085
  0.504         4.236
  0.546         4.399
  0.588         4.576
  0.630         4.765
  0.672         4.968
  0.714         5.183
  0.756         5.411
  0.798         5.652
  0.840         5.906
  0.882         5.887
  0.924         5.498
  0.966         5.105
  1.008         4.714
  1.050         4.329
  1.092         3.952
  1.134         3.585
  1.175         3.233
  1.217         2.901
  1.259         2.595
  1.301         2.319
  1.343         2.087
  1.385         1.908
  1.427         1.795
  1.469         1.755
  1.469         1.755
  1.512         1.754
  1.554         1.750
  1.597         1.742
  1.639         1.730
  1.681         1.714
  1.724         1.692
  1.766         1.663
  1.809         1.627
  1.851         1.582
  1.894         1.526
  1.936         1.457
  1.978         1.372
  2.021         1.274
  2.063         1.157
  2.106         1.023
  2.148         0.869
  2.190         0.697
  2.233         0.507
  2.275         0.300
  2.318         0.076
  2.318         0.076
  2.359         0.306
  2.400         0.547
  2.442         0.797
  2.483         1.058
  2.525         1.327
  2.566         1.606
  2.607         1.893
  2.649         2.189
  2.690         2.493
  2.732         2.805
  2.773         3.125
  2.814         3.453
  2.856         3.786
  2.897         4.125
  2.938         4.471
  2.980         4.821
  3.021         5.176
  3.063         5.536
  3.104         5.896
  3.145         6.095
  3.187         5.835
  3.228         5.588
  3.270         5.353
  3.311         5.131
  3.352         4.921
  3.394         4.724
  3.435         4.540
  3.476         4.368
  3.518         4.209
  3.559         4.063
  3.601         3.929
  3.642         3.809
  3.683         3.700
  3.725         3.605
  3.766         3.522
  3.807         3.452
  3.849         3.395
  3.890         3.350
  3.932         3.319
  3.973         3.300
  4.014         3.293
# Band    6
  4.014         4.438
  3.973         4.444
  3.932         4.463
  3.890         4.495
  3.849         4.539
  3.807         4.597
  3.766         4.666
  3.725         4.749
  3.683         4.845
  3.642         4.952
  3.601         5.073
  3.559         5.206
  3.518         5.352
  3.476         5.510
  3.435         5.681
  3.394         5.864
  3.352         6.059
  3.311         6.267
  3.270         6.486
  3.228         6.718
  3.187         6.621
  3.145         6.259
  3.104         6.367
  3.063         6.652
  3.021         6.949
  2.980         7.258
  2.938         7.578
  2.897         7.911
  2.856         8.255
  2.814         8.611
  2.773         8.978
  2.732         9.355
  2.690         9.742
  2.649        10.138
  2.607        10.541
  2.566        10.823
  2.525        10.829
  2.483        10.802
  2.442        10.763
  2.400        10.725
  2.359        10.698
  2.318        10.689
  2.318        10.689
  2.275        10.700
  2.233        10.736
  2.190        10.796
  2.148        10.881
  2.106        10.989
  2.063        11.116
  2.021        11.257
  1.978        10.862
  1.936        10.410
  1.894         9.967
  1.851         9.542
  1.809         9.141
  1.766         8.768
  1.724         8.431
  1.681         8.134
  1.639         7.882
  1.597         7.681
  1.554         7.533
  1.512         7.444
  1.469         7.414
  1.469         7.414
  1.427         7.416
  1.385         7.423
  1.343         7.435
  1.301         7.451
  1.259         7.473
  1.217         7.498
  1.175         7.525
  1.134         7.551
  1.092         7.540
  1.050         7.337
  1.008         7.039
  0.966         6.740
  0.924         6.451
  0.882         6.172
  0.840         6.267
  0.798         6.559
  0.756         6.502
  0.714         6.304
  0.672         6.099
  0.630         5.902
  0.588         5.715
  0.546         5.541
  0.504         5.378
  0.462         5.228
  0.420         5.092
  0.378         4.967
  0.336         4.856
  0.294         4.758
  0.252         4.673
  0.210         4.601
  0.168         4.542
  0.126         4.496
  0.084         4.464
  0.042         4.444
  0.000         4.438
# Band    7
  0.000         5.265
  0.042         5.271
  0.084         5.291
  0.126         5.324
  0.168         5.370
  0.210         5.429
  0.252         5.502
  0.294         5.587
  0.336         5.686
  0.378         5.798
  0.420         5.923
  0.462         6.061
  0.504         6.212
  0.546         6.376
  0.588         6.553
  0.630         6.743
  0.672         6.946
  0.714         7.160
  0.756         7.170
  0.798         6.961
  0.840         7.108
  0.882         7.353
  0.924         7.624
  0.966         7.767
  1.008         7.725
  1.050         7.699
  1.092         7.784
  1.134         8.076
  1.175         8.421
  1.217         8.784
  1.259         9.161
  1.301         9.551
  1.343         9.952
  1.385        10.364
  1.427        10.786
  1.469        11.152
  1.469        11.152
  1.512        11.158
  1.554        11.176
  1.597        11.205
  1.639        11.245
  1.681        11.297
  1.724        11.360
  1.766        11.434
  1.809        11.519
  1.851        11.614
  1.894        11.695
  1.936        11.555
  1.978        11.406
  2.021        11.314
  2.063        11.754
  2.106        12.156
  2.148        12.483
  2.190        12.616
  2.233        12.741
  2.275        12.852
  2.318        12.946
  2.318        12.946
  2.359        12.790
  2.400        12.509
  2.442        12.154
  2.483        11.764
  2.525        11.359
  2.566        10.949
  2.607        10.763
  2.649        10.631
  2.690        10.429
  2.732        10.173
  2.773         9.884
  2.814         9.578
  2.856         9.265
  2.897         8.952
  2.938         8.642
  2.980         8.339
  3.021         8.043
  3.063         7.757
  3.104         7.481
  3.145         7.215
  3.187         6.961
  3.228         6.982
  3.270         7.337
  3.311         7.114
  3.352         6.902
  3.394         6.704
  3.435         6.519
  3.476         6.346
  3.518         6.186
  3.559         6.039
  3.601         5.904
  3.642         5.783
  3.683         5.674
  3.725         5.578
  3.766         5.495
  3.807         5.425
  3.849         5.367
  3.890         5.322
  3.932         5.290
  3.973         5.271
  4.014         5.265
# Band    8
  4.014         8.408
  3.973         8.413
  3.932         8.432
  3.890         8.463
  3.849         8.468
  3.807         8.502
  3.766         8.551
  3.725         8.602
  3.683         8.663
  3.642         8.714
  3.601         8.725
  3.559         8.802
  3.518         8.892
  3.476         8.992
  3.435         8.741
  3.394         8.399
  3.352         8.051
  3.311         7.699
  3.270         7.342
  3.228         7.574
  3.187         7.823
  3.145         8.085
  3.104         8.360
  3.063         8.647
  3.021         8.946
  2.980         9.258
  2.938         9.583
  2.897         9.919
  2.856        10.267
  2.814        10.627
  2.773        10.998
  2.732        11.379
  2.690        11.770
  2.649        12.166
  2.607        12.561
  2.566        12.928
  2.525        13.187
  2.483        13.071
