# Kpath    Energy-Level (in eV)
# Band    1
       2.10376       3.50263
       2.23962       3.46270
       2.37547       3.26127
       2.51133       2.95452
       2.64718       2.46377
       2.78304       2.07415
       2.78304       2.07415
       2.89396       2.34740
       3.00489       2.64460
       3.11582       2.60473
       3.22674       2.41167
       3.33767       2.19800
       3.44859       2.01185
       3.55952       1.87181
       3.67044       1.78564
       3.78137       1.75661
       3.78137       1.75661
       3.87194       1.96447
       3.96251       2.44129
       4.05308       2.96300
       4.14365       3.41536
       4.23422       3.77093
       4.32479       4.04564
       4.41536       4.30401
       4.50593       4.57698
       4.59650       4.74966
       4.59650       4.74966
       4.66054       4.50683
       4.72459       4.01306
       4.78863       3.47518
       4.85267       2.95904
       4.91672       2.49343
       4.98076       2.09933
       5.04480       1.79674
       5.10884       1.60497
       5.17289       1.53910
# Band    6
       5.17289       1.79267
       5.10884       1.86085
       5.04480       2.05899
       4.98076       2.37067
       4.91672       2.77549
       4.85267       3.25340
       4.78863       3.78556
       4.72459       4.35030
       4.66054       4.90108
       4.59650       5.21515
       4.59650       5.21515
       4.50593       5.25281
       4.41536       5.02028
       4.32479       4.68457
       4.23422       4.43767
       4.14365       4.35830
       4.05308       4.43294
       3.96251       4.60380
       3.87194       4.78528
       3.78137       4.86603
       3.78137       4.86603
       3.67044       4.88807
       3.55952       4.94366
       3.44859       4.99950
       3.33767       4.99829
       3.22674       4.88165
       3.11582       4.64734
       3.00489       4.37033
       2.89396       4.13039
       2.78304       4.06884
       2.78304       4.06884
       2.64718       4.07411
       2.51133       4.16640
       2.37547       4.43349
       2.23962       4.87411
       2.10376       5.43486
       1.96791       5.98703
       1.83205       6.44129
       1.69619       6.31353
       1.56034       4.98643
       1.56034       4.98643
       1.51505       4.45988
       1.46977       3.93910
       1.42448       3.43941
       1.37920       2.97457
       1.33391       2.55977
       1.28863       2.21428
       1.24334       1.96377
       1.19806       1.82964
       1.15277       1.79267
       1.15277       1.79267
       1.02469       1.97787
       0.89660       2.38642
       0.76851       2.93941
       0.64043       3.56622
       0.51234       4.06344
       0.38426       4.01777
       0.25617       3.60306
       0.12809       3.90172
       0.00000       4.06884
# Band    7
       0.00000       4.06884
       0.12809       4.29177
       0.25617       4.87993
       0.38426       5.69215
       0.51234       6.62893
       0.64043       7.63573
       0.76851       8.68312
       0.89660       9.74618
       1.02469      10.75672
       1.15277      11.32357
       1.15277      11.32357
       1.19806      11.19897
       1.24334      10.93391
       1.28863      10.62097
       1.33391      10.29060
       1.37920       9.95538
       1.42448       9.62242
       1.46977       9.29659
       1.51505       8.98213
       1.56034       8.68336
       1.56034       8.68336
       1.69619       7.75618
       1.83205       6.90376
       1.96791       6.16508
       2.10376       5.53918
       2.23962       5.02185
       2.37547       4.61190
       2.51133       4.31280
       2.64718       4.13025
       2.78304       4.06884
       2.78304       4.06884
       2.89396       4.15154
       3.00489       4.37033
       3.11582       4.64734
       3.22674       4.88165
       3.33767       4.99829
       3.44859       4.99950
       3.55952       4.94366
       3.67044       4.88807
       3.78137       4.86603
       3.78137       4.86603
       3.87194       4.96701
       3.96251       5.28257
       4.05308       5.82528
       4.14365       6.52110
       4.23422       6.95268
       4.32479       6.69532
       4.41536       6.28093
       4.50593       6.06743
       4.59650       6.30219
       4.59650       6.30219
       4.66054       6.63896
       4.72459       7.25492
       4.78863       7.93787
       4.85267       8.63244
       4.91672       9.32114
       4.98076       9.98394
       5.04480      10.59155
       5.10884      11.08850
       5.17289      11.32357
# Band    8
       5.17289      11.32357
       5.10884      11.16403
       5.04480      10.72163
       4.98076      10.10074
       4.91672       9.39757
       4.85267       8.66704
       4.78863       7.94213
       4.72459       7.25825
       4.66054       6.67166
       4.59650       6.39908
       4.59650       6.39908
       4.50593       6.87768
       4.41536       7.48398
       4.32479       8.10778
       4.23422       8.24648
       4.14365       8.31379
       4.05308       8.66566
       3.96251       8.78902
       3.87194       8.62790
       3.78137       8.51855
       3.78137       8.51855
       3.67044       8.51191
       3.55952       8.41137
       3.44859       7.96920
       3.33767       7.15493
       3.22674       6.20560
       3.11582       5.26845
       3.00489       4.49940
       2.89396       4.15154
       2.78304       4.06884
       2.78304       4.06884
       2.64718       4.33918
       2.51133       5.11183
       2.37547       5.87513
       2.23962       6.10594
       2.10376       6.13832
       1.96791       6.50162
       1.83205       7.21015
       1.69619       7.92026
       1.56034       8.71400
       1.56034       8.71400
       1.51505       9.05278
       1.46977       9.39869
       1.42448       9.74891
       1.37920      10.09905
       1.33391      10.44198
       1.28863      10.76516
       1.24334      11.04632
       1.19806      11.24814
       1.15277      11.32357
       1.15277      11.32357
       1.02469      10.75672
       0.89660       9.74618
       0.76851       8.68312
       0.64043       7.63573
       0.51234       6.62893
       0.38426       5.69215
       0.25617       4.87993
       0.12809       4.29177
       0.00000       4.06884
# Band    9
       0.00000       9.13667
       0.12809       9.41149
       0.25617       8.51878
       0.38426       7.77331
       0.51234       7.79151
       0.64043       8.53682
       0.76851       9.56331
       0.89660      10.60542
       1.02469      11.45916
       1.15277      11.81893
       1.15277      11.81893
       1.19806      11.85327
       1.24334      11.83761
       1.28863      11.69090
       1.33391      11.43913
       1.37920      11.12729
       1.42448      10.78645
       1.46977      10.43573
       1.51505      10.08852
       1.56034       9.75743
       1.56034       9.75743
       1.69619       9.11311
       1.83205       9.09818
       1.96791       8.51121
       2.10376       8.16724
       2.23962       8.11643
       2.37547       8.38032
       2.51133       8.92964
       2.64718       9.46380
       2.78304       9.13667
       2.78304       9.13667
       2.89396       9.35886
       3.00489       9.48973
       3.11582       9.19491
       3.22674       9.13866
       3.33767       9.39963
       3.44859       9.96610
       3.55952      10.35705
       3.67044      11.02519
       3.78137      11.40412
       3.78137      11.40412
       3.87194      11.11087
       3.96251      10.69625
       4.05308      10.28965
       4.14365       9.66911
       4.23422       9.02937
       4.32479       9.27657
       4.41536      10.32478
       4.50593      11.41532
       4.59650      12.18393
       4.59650      12.18393
       4.66054      12.17822
       4.72459      12.16184
       4.78863      12.13662
       4.85267      12.10492
       4.91672      12.06840
       4.98076      12.02629
       5.04480      11.97202
       5.10884      11.89092
       5.17289      11.81893
# Band   10
       5.17289      13.00860
       5.10884      12.83411
       5.04480      12.65997
       4.98076      12.57283
       4.91672      12.53395
       4.85267      12.51774
       4.78863      12.51204
       4.72459      12.51095
       4.66054      12.51132
       4.59650      12.51169
       4.59650      12.51169
       4.50593      12.88941
       4.41536      13.05405
       4.32479      12.97011
       4.23422      12.63115
       4.14365      12.04973
       4.05308      11.57140
       3.96251      11.67610
       3.87194      12.06661
       3.78137      12.22343
       3.78137      12.22343
       3.67044      11.65434
       3.55952      10.75846
       3.44859       9.96610
       3.33767       9.39963
       3.22674       9.13866
       3.11582       9.19491
       3.00489       9.48973
       2.89396       9.86904
       2.78304      10.06613
       2.78304      10.06613
       2.64718       9.63922
       2.51133       9.65902
       2.37547       9.74178
       2.23962      10.64622
       2.10376      12.03510
       1.96791      11.60106
       1.83205       9.95356
       1.69619       9.86718
       1.56034      10.75219
       1.56034      10.75219
       1.51505      11.05935
       1.46977      11.36631
       1.42448      11.66817
       1.37920      11.95912
       1.33391      12.23254
       1.28863      12.48206
       1.24334      12.70391
       1.19806      12.89697
       1.15277      13.00860
       1.15277      13.00860
       1.02469      12.81615
       0.89660      12.36408
       0.76851      11.83505
       0.64043      11.32790
       0.51234      10.88705
       0.38426      10.53266
       0.25617      10.22688
       0.12809       9.54264
       0.00000      10.06613
# Band   11
       0.00000      10.06613
       0.12809      10.11848
       0.25617      10.27475
       0.38426      11.32164
       0.51234      12.58455
       0.64043      13.88435
       0.76851      15.03836
       0.89660      15.09760
       1.02469      13.98057
       1.15277      13.36761
       1.15277      13.36761
       1.19806      13.38626
       1.24334      13.47201
       1.28863      13.65375
       1.33391      13.91077
