# Kpath    Energy-Level (in eV)
       2.78304     -14.54063      -0.82009      -0.82009      -0.82009       2.07415       4.06884       4.06884       4.06884       9.13667      10.06613      10.06613      12.76342      12.76342      12.76342      16.05212      25.51069
       2.89396     -14.49966      -1.26854      -0.87171      -0.87171       2.34740       4.13039       4.15154       4.15154       9.35886       9.86904       9.86904      12.54702      13.09860      13.09860      16.41150      24.85346
       3.00489     -14.37766      -2.22661      -1.01068      -1.01068       2.64460       4.37033       4.37033       4.49940       9.48973       9.48973       9.92556      12.14617      13.90426      13.90426      17.28744      23.60989
       3.11582     -14.17775      -3.32639      -1.20102      -1.20102       2.60473       4.64734       4.64734       5.26845       9.19491       9.19491      10.42289      12.10916      14.94923      14.94923      18.42218      22.15183
       3.22674     -13.90620      -4.43457      -1.40624      -1.40624       2.41167       4.88165       4.88165       6.20560       9.13866       9.13866      10.33939      12.95148      16.12403      16.12403      19.56367      20.57203
       3.33767     -13.57470      -5.48792      -1.59891      -1.59891       2.19800       4.99829       4.99829       7.15493       9.39963       9.39963      10.07906      14.22575      17.27611      17.27699      19.16831      19.20072
       3.44859     -13.20504      -6.43799      -1.76123      -1.76123       2.01185       4.99950       4.99950       7.96920       9.96610       9.96610      10.00001      15.42791      17.12751      17.12760      18.27671      19.22495
       3.55952     -12.83830      -7.22822      -1.88265      -1.88265       1.87181       4.94366       4.94366       8.41137      10.35705      10.75846      10.75846      15.57847      15.85838      15.85838      18.53315      20.56233
       3.67044     -12.54767      -7.77621      -1.95733      -1.95733       1.78564       4.88807       4.88807       8.51191      11.02519      11.65434      11.65434      14.64340      14.64340      14.83450      19.89244      22.00314
       3.78137     -12.43261      -7.97762      -1.98250      -1.98250       1.75661       4.86603       4.86603       8.51855      11.40412      12.22343      12.22343      13.96785      13.96785      14.40634      20.93709      22.93577
       3.78137     -12.43261      -7.97762      -1.98250      -1.98250       1.75661       4.86603       4.86603       8.51855      11.40412      12.22343      12.22343      13.96785      13.96785      14.40634      20.93709      22.93578
       3.87194     -12.40942      -7.96031      -2.19997      -2.02733       1.96447       4.78528       4.96701       8.62790      11.11087      12.06661      12.41581      13.61465      14.15897      15.01175      20.87597      22.57730
       3.96251     -12.34094      -7.91093      -2.72026      -2.16150       2.44129       4.60380       5.28257       8.78902      10.69625      11.67610      12.63369      13.44836      14.70092      15.87613      20.67043      22.10448
       4.05308     -12.23040      -7.83775      -3.34329      -2.38213       2.96300       4.43294       5.82528       8.66566      10.28965      11.57140      12.80418      13.47833      15.45972      16.74481      20.30643      21.53814
       4.14365     -12.08391      -7.75686      -3.94267      -2.67995       3.41536       4.35830       6.52110       8.31379       9.66911      12.04973      12.98698      13.63022      16.30937      17.50168      19.84425      20.91101
       4.23422     -11.91171      -7.69409      -4.43633      -3.03735       3.77093       4.43767       6.95268       8.24648       9.02937      12.63115      13.18640      14.02353      17.17784      17.89615      19.39233      20.33065
       4.32479     -11.72999      -7.67961      -4.75988      -3.42977       4.04564       4.68457       6.69532       8.10778       9.27657      12.97011      13.36279      14.79647      17.52330      18.01115      19.10052      20.04323
       4.41536     -11.56272      -7.72365      -4.87705      -3.82832       4.30401       5.02028       6.28093       7.48398      10.32478      13.05405      13.57005      15.58546      16.77772      18.59586      19.11034      19.96630
       4.50593     -11.44129      -7.79087      -4.80585      -4.19758       4.57698       5.25281       6.06743       6.87768      11.41532      12.88941      13.87646      15.18163      17.00714      18.77756      19.57101      20.02961
       4.59650     -11.39632      -7.82261      -4.67263      -4.42667       4.74966       5.21515       6.30219       6.39908      12.18393      12.51169      14.30271      14.47257      17.29415      18.99059      19.90379      20.24740
       4.59650     -11.39632      -7.82261      -4.67263      -4.42667       4.74966       5.21515       6.30219       6.39908      12.18393      12.51169      14.30271      14.47257      17.29415      18.99059      19.90379      20.24740
       4.66054     -11.39870      -7.83217      -4.64512      -4.40749       4.50683       4.90108       6.63896       6.67166      12.17822      12.51132      14.29721      14.45241      17.33928      18.99197      19.87157      20.14926
       4.72459     -11.40549      -7.85907      -4.56550      -4.35135       4.01306       4.35030       7.25492       7.25825      12.16184      12.51095      14.27843      14.39625      17.46996      18.97235      19.56139      20.11790
       4.78863     -11.41584      -7.89862      -4.44197      -4.26252       3.47518       3.78556       7.93787       7.94213      12.13662      12.51204      14.23911      14.31301      17.67062      18.82770      18.99471      20.01982
       4.85267     -11.42841      -7.94467      -4.28696      -4.14836       2.95904       3.25340       8.63244       8.66704      12.10492      12.51774      14.16828      14.21217      17.89667      18.35425      18.48164      19.96017
       4.91672     -11.44165      -7.99104      -4.11625      -4.01955       2.49343       2.77549       9.32114       9.39757      12.06840      12.53395      14.05287      14.09793      17.55085      18.04746      18.29115      20.13032
       4.98076     -11.45395      -8.03245      -3.94861      -3.89031       2.09933       2.37067       9.98394      10.10074      12.02629      12.57283      13.88362      13.96508      16.87430      17.64514      18.59645      20.42814
       5.04480     -11.46390      -8.06482      -3.80522      -3.77792       1.79674       2.05899      10.59155      10.72163      11.97202      12.65997      13.66893      13.79418      16.26922      17.33273      18.90186      20.81759
       5.10884     -11.47036      -8.08533      -3.70761      -3.70055       1.60497       1.86085      11.08850      11.16403      11.89092      12.83411      13.46095      13.56118      15.83989      17.13858      19.14120      21.27621
       5.17289     -11.47259      -8.09234      -3.67284      -3.67284       1.53910       1.79267      11.32357      11.32357      11.81893      13.00860      13.36761      13.36761      15.68348      17.07318      19.23588      21.54931
