     #Energy  up_1&5_all  dw_1&5_all    up_3_all    dw_3_all
     1.99013     0.20380    -0.25638     0.08620    -0.10817
     2.10313     0.22615    -0.24707     0.13802    -0.10261
     2.21513     0.21817    -0.23102     0.14505    -0.09748
     2.32813     0.19725    -0.21486     0.10927    -0.09385
     2.44113     0.18701    -0.23465     0.10284    -0.15411
     2.55413     0.18920    -0.22426     0.11123    -0.15147
     2.66713     0.18992    -0.20316     0.11456    -0.11343
     2.78013     0.18671    -0.20479     0.11506    -0.11816
     2.89313     0.18325    -0.20674     0.11526    -0.12520
     3.00613     0.16712    -0.20302     0.10615    -0.12545
     3.11913     0.16570    -0.19918     0.10511    -0.12533
     3.23113     0.16485    -0.18467     0.10432    -0.11887
     3.34413     0.16483    -0.18321     0.10399    -0.11779
     3.45713     0.16393    -0.18275     0.10090    -0.11720
     3.57013     0.16127    -0.18236     0.09875    -0.11652
     3.68313     0.17220    -0.17963     0.10548    -0.11220
     3.79613     0.16287    -0.15736     0.09237    -0.09605
     3.90913     0.15274    -0.18308     0.07986    -0.11105
     4.02213     0.14617    -0.17053     0.07066    -0.09568
     4.13513     0.10488    -0.15948     0.05430    -0.08253
     4.24713     0.14329    -0.11036     0.06983    -0.05873
     4.36013     0.11089    -0.10967     0.05192    -0.05807
     4.47313     0.10498    -0.14622     0.04901    -0.07242
     4.58613     0.22216    -0.11251     0.05628    -0.05319
     4.69913     0.24767    -0.11144     0.06148    -0.05210
     4.81213     0.30202    -0.23084     0.07174    -0.05738
     4.92513     0.34560    -0.25749     0.08555    -0.06194
     5.03813     0.30201    -0.31699     0.09051    -0.07037
     5.15113     0.30527    -0.36416     0.09439    -0.08590
     5.26313     0.30905    -0.31524     0.09850    -0.08929
     5.37613     0.28067    -0.31888     0.09767    -0.09310
     5.48913     0.25951    -0.30606     0.08923    -0.09248
     5.60213     0.26285    -0.29323     0.08998    -0.09646
     5.71513     0.26583    -0.29220     0.08935    -0.09491
     5.82813     0.22599    -0.28358     0.08087    -0.09312
     5.94113     0.19251    -0.25129     0.07008    -0.08623
     6.05413     0.17336    -0.20993     0.06107    -0.07538
     6.16713     0.15589    -0.19062     0.05105    -0.06631
     6.27913     0.15895    -0.16596     0.05303    -0.05396
     6.39213     0.15633    -0.16815     0.05105    -0.05730
     6.50513     0.16814    -0.16581     0.05336    -0.05548
     6.61813     0.11525    -0.21971     0.03331    -0.07140
     6.73113     0.11385    -0.11837     0.03348    -0.03366
     6.84413     0.35681    -0.11686     0.16657    -0.03389
     6.95713     0.35581    -0.11531     0.21988    -0.03411
     7.07013     0.27517    -0.23867     0.12462    -0.14449
     7.18213     0.27794    -0.39045     0.16762    -0.24716
     7.29513     0.25438    -0.27692     0.16796    -0.12868
     7.40813     0.19923    -0.28292     0.11663    -0.19394
     7.52113     0.17563    -0.25224     0.10155    -0.18389
     7.63413     0.14500    -0.18416     0.07685    -0.11125
     7.74713     0.12547    -0.16381     0.06828    -0.09330
     7.86013     0.13013    -0.13554     0.06958    -0.07510
     7.97313     0.12931    -0.13867     0.06538    -0.07569
     8.08613     0.12710    -0.14246     0.06736    -0.07654
     8.19813     0.12425    -0.13354     0.06992    -0.07078
     8.31113     0.16404    -0.12903     0.10433    -0.07222
     8.42413     0.24034    -0.11595     0.15991    -0.07093
     8.53713     0.26774    -0.22370     0.16949    -0.14687
     8.65013     0.25460    -0.28820     0.16801    -0.18086
     8.76313     0.19703    -0.25921     0.15468    -0.16970
     8.87613     0.20302    -0.19678     0.15090    -0.14627
     8.98913     0.21095    -0.21177     0.14578    -0.15500
     9.10213     0.25482    -0.22057     0.16840    -0.15306
     9.21413     0.25618    -0.22958     0.15533    -0.15531
     9.32713     0.21011    -0.26106     0.12716    -0.16058
     9.44013     0.17838    -0.22141     0.08962    -0.13521
     9.55313     0.18554    -0.18624     0.07983    -0.11038
     9.66613     0.16874    -0.18778     0.06187    -0.08203
     9.77913     0.15266    -0.17074     0.05461    -0.06384
     9.89213     0.15520    -0.15316     0.05415    -0.05616
    10.00513     0.14022    -0.15605     0.05162    -0.05586
    10.11813     0.20613    -0.21230     0.09559    -0.09152
    10.23013     0.20638    -0.19124     0.09168    -0.09131
    10.34313     0.21097    -0.18703     0.11133    -0.08821
    10.45613     0.22584    -0.20447     0.12294    -0.10118
    10.56913     0.25119    -0.22681     0.14876    -0.12173
    10.68213     0.22228    -0.25206     0.13678    -0.14897
    10.79513     0.23538    -0.21947     0.14566    -0.13691
    10.90813     0.23646    -0.24193     0.11550    -0.14794
    11.02113     0.23573    -0.25398     0.12189    -0.12280
    11.13413     0.24780    -0.24834     0.12483    -0.12725
    11.24613     0.25000    -0.23173     0.11235    -0.11599
    11.35913     0.26992    -0.27507     0.11812    -0.12328
    11.47213     0.25563    -0.24543     0.10262    -0.10060
    11.58513     0.27903    -0.26623     0.11693    -0.10588
    11.69813     0.33228    -0.27865     0.13726    -0.11601
    11.81113     0.32569    -0.31064     0.15834    -0.13896
    11.92413     0.28512    -0.36489     0.15450    -0.17502
    12.03713     0.25796    -0.23065     0.15586    -0.13214
    12.15013     0.29467    -0.26550     0.18954    -0.15921
    12.26213     0.30562    -0.30734     0.17142    -0.20020
    12.37513     0.30959    -0.28836     0.17814    -0.17084
    12.48813     0.31925    -0.30520     0.18280    -0.17349
    12.60113     0.27919    -0.32917     0.15853    -0.18246
    12.71413     0.23041    -0.26758     0.14295    -0.14220
    12.82713     0.25696    -0.26487     0.12437    -0.17082
    12.94013     0.22048    -0.24924     0.12262    -0.11792
    13.05313     0.31290    -0.22518     0.22940    -0.12377
    13.16613     0.21458    -0.31555     0.11286    -0.19292
    13.27813     0.26099    -0.18331     0.14854    -0.10472
    13.39113     0.16731    -0.18308     0.09287    -0.10968
    13.50413     0.19588    -0.18547     0.10786    -0.11067
    13.61713     0.20619    -0.19777     0.11138    -0.11610
    13.73013     0.22271    -0.20679     0.12081    -0.11909
    13.84313     0.26648    -0.23503     0.14402    -0.13545
    13.95613     0.29381    -0.25883     0.15856    -0.14919
    14.06913     0.31726    -0.27687     0.20505    -0.15686
    14.18213     0.34778    -0.33163     0.20805    -0.23466
    14.29413     0.30910    -0.31095     0.16033    -0.17331
    14.40713     0.30336    -0.30773     0.14824    -0.15711
    14.52013     0.42228    -0.36059     0.20347    -0.18028
    14.63313     0.28826    -0.34375     0.12114    -0.14708
    14.74613     0.33400    -0.29468     0.12471    -0.12420
    14.85913     0.22731    -0.31932     0.10257    -0.11934
    14.97213     0.21248    -0.22175     0.09991    -0.10111
    15.08513     0.23650    -0.20782     0.12219    -0.09860
    15.19813     0.25407    -0.23860     0.13636    -0.12243
    15.31013     0.25171    -0.26724     0.13802    -0.14140
    15.42313     0.24370    -0.25045     0.13710    -0.13884
    15.53613     0.26572    -0.26915     0.15106    -0.14956
    15.64913     0.30825    -0.30764     0.18098    -0.17775
    15.76213     0.26379    -0.35410     0.16428    -0.21037
