     #Energy         O_s         O_p         C_s         C_p      Ni_dxy      Ni_dz2
   -12.36966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.19566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.02266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.84966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.67566     0.04509     0.01963     0.09620     0.02109     0.00001     0.01200
   -11.50266     0.03820     0.01754     0.08079     0.01912     0.00004     0.01117
   -11.32966     0.04307     0.02026     0.09075     0.02218     0.00007     0.01308
   -11.15566     0.04796     0.02303     0.10070     0.02532     0.00010     0.01503
   -10.98266     0.04767     0.02471     0.09897     0.02716     0.00020     0.01618
   -10.80966     0.04822     0.02689     0.09909     0.02946     0.00029     0.01743
   -10.63566     0.05108     0.02993     0.10430     0.03259     0.00037     0.01903
   -10.46266     0.05392     0.03306     0.10940     0.03581     0.00045     0.02065
   -10.28966     0.05674     0.03629     0.11450     0.03912     0.00053     0.02229
   -10.11566     0.06015     0.05093     0.11860     0.05071     0.00075     0.02566
    -9.94266     0.06329     0.06392     0.12320     0.06081     0.00092     0.02809
    -9.76966     0.06702     0.08628     0.12920     0.07658     0.00105     0.03040
    -9.59666     0.06969     0.11105     0.13290     0.09346     0.00118     0.03228
    -9.42266     0.07225     0.17315     0.13470     0.13131     0.00145     0.03536
    -9.24966     0.06460     0.38163     0.11810     0.24773     0.00151     0.03278
    -9.07666     0.04001     0.18861     0.07387     0.12096     0.00098     0.02069
    -8.90266     0.03091     0.17671     0.05681     0.10889     0.00081     0.01635
    -8.72966     0.03163     0.11727     0.05712     0.05081     0.00044     0.01538
    -8.55666     0.21970     0.52986     0.44050     0.07354     0.00439     0.09792
    -8.38266     0.22260     0.81690     0.43240     0.13986     0.00286     0.08706
    -8.20966     0.28360     1.59940     0.51340     0.33853     0.00141     0.08922
    -8.03666     0.10900     1.03940     0.13700     0.30005     0.00079     0.02255
    -7.86266     0.22090     2.54000     0.10470     0.85800     0.00224     0.03974
    -7.68966     0.00318     0.04441     0.00020     0.01982     0.00060     0.00107
    -7.51666     0.00288     0.05649     0.00018     0.02564     0.00104     0.00127
    -7.34266     0.00257     0.06854     0.00016     0.03141     0.00151     0.00149
    -7.16966     0.00231     0.08157     0.00017     0.03778     0.00202     0.00208
    -6.99666     0.00348     0.11602     0.00102     0.05703     0.00303     0.01014
    -6.82266     0.00459     0.13867     0.00154     0.06687     0.00447     0.01301
    -6.64966     0.00819     0.18539     0.00260     0.08959     0.00638     0.02107
    -6.47666     0.02963     0.47360     0.01192     0.25139     0.01266     0.09694
    -6.30266     0.04860     0.61910     0.02022     0.34675     0.01783     0.16195
    -6.12966     0.10980     1.00320     0.04746     0.56360     0.03643     0.33990
    -5.95666     0.00269     0.04285     0.00145     0.01934     0.01561     0.00811
    -5.78266     0.01417     0.37649     0.01541     0.18926     0.02583     0.11023
    -5.60966     0.01181     0.48062     0.01451     0.21989     0.02853     0.12986
    -5.43666     0.02092     0.66393     0.01908     0.27661     0.03377     0.14610
    -5.26266     0.01395     0.64287     0.01256     0.24566     0.04703     0.06773
    -5.08966     0.00829     0.64116     0.00823     0.23058     0.04810     0.03858
    -4.91666     0.00294     0.31730     0.00467     0.11443     0.04849     0.02516
    -4.74266     0.00551     0.73487     0.02543     0.27844     0.12622     0.66093
    -4.56966     0.00085     0.27628     0.00288     0.09353     0.18018     0.04351
    -4.39666     0.00720     0.64551     0.00636     0.20634     0.29520     0.36392
    -4.22266     0.00055     0.95850     0.00366     0.29717     0.51480     0.13350
    -4.04966     0.00143     0.16049     0.00580     0.04477     0.75914     0.81974
    -3.87666     0.00090     0.76266     0.00384     0.21721     0.91787     0.56148
    -3.70266     0.00082     0.21215     0.00366     0.05457     1.08307     0.90375
    -3.52966     0.00143     0.10592     0.00712     0.02093     1.87430     1.40823
    -3.35666     0.00213     0.12073     0.00581     0.01929     2.00030     1.64030
    -3.18266     0.00207     0.12642     0.00739     0.02423     2.17520     1.61619
    -3.00966     0.00057     0.04712     0.00616     0.01457     1.54840     1.12028
