#K-Path     Energy-Level
#Band-index    1
  1.560      -17.3735
  1.560      -17.3735
  1.526      -17.3716
  1.492      -17.3697
  1.458      -17.3678
  1.424      -17.3659
  1.391      -17.3642
  1.357      -17.3625
  1.323      -17.3611
  1.289      -17.3597
  1.255      -17.3586
  1.221      -17.3578
  1.187      -17.3573
  1.153      -17.3571
  1.153      -17.3571
  1.122      -17.3572
  1.090      -17.3576
  1.059      -17.3581
  1.028      -17.3589
  0.997      -17.3598
  0.966      -17.3610
  0.935      -17.3624
  0.904      -17.3640
  0.872      -17.3657
  0.841      -17.3676
  0.810      -17.3696
  0.779      -17.3718
  0.748      -17.3741
  0.717      -17.3764
  0.685      -17.3788
  0.654      -17.3813
  0.623      -17.3838
  0.592      -17.3864
  0.561      -17.3889
  0.530      -17.3914
  0.498      -17.3939
  0.467      -17.3963
  0.436      -17.3987
  0.405      -17.4009
  0.374      -17.4031
  0.343      -17.4051
  0.312      -17.4070
  0.280      -17.4088
  0.249      -17.4104
  0.218      -17.4119
  0.187      -17.4131
  0.156      -17.4142
  0.125      -17.4151
  0.093      -17.4158
  0.062      -17.4163
  0.031      -17.4166
  0.000      -17.4168
#Band-index    3
  0.000      -17.4168
  0.031      -17.4166
  0.062      -17.4163
  0.093      -17.4158
  0.125      -17.4151
  0.156      -17.4142
  0.187      -17.4131
  0.218      -17.4118
  0.249      -17.4104
  0.280      -17.4088
  0.312      -17.4070
  0.343      -17.4051
  0.374      -17.4030
  0.405      -17.4009
  0.436      -17.3986
  0.467      -17.3962
  0.498      -17.3938
  0.530      -17.3914
  0.561      -17.3889
  0.592      -17.3863
  0.623      -17.3838
  0.654      -17.3813
  0.685      -17.3788
  0.717      -17.3764
  0.748      -17.3740
  0.779      -17.3718
  0.810      -17.3696
  0.841      -17.3676
  0.872      -17.3657
  0.904      -17.3639
  0.935      -17.3624
  0.966      -17.3610
  0.997      -17.3598
  1.028      -17.3588
  1.059      -17.3581
  1.090      -17.3575
  1.122      -17.3572
  1.153      -17.3571
  1.153      -17.3571
  1.187      -17.3572
  1.221      -17.3573
  1.255      -17.3576
  1.289      -17.3580
  1.323      -17.3586
  1.357      -17.3592
  1.391      -17.3600
  1.424      -17.3608
  1.458      -17.3618
  1.492      -17.3629
  1.526      -17.3641
  1.560      -17.3653
  1.560      -17.3653
  1.592      -17.3666
  1.623      -17.3679
  1.654      -17.3693
  1.686      -17.3708
  1.717      -17.3723
  1.748      -17.3739
  1.780      -17.3756
  1.811      -17.3772
  1.843      -17.3789
  1.874      -17.3807
  1.905      -17.3824
  1.937      -17.3842
  1.968      -17.3860
  1.999      -17.3878
  2.031      -17.3896
  2.062      -17.3914
  2.093      -17.3925
  2.125      -17.3935
  2.156      -17.3944
  2.187      -17.3955
  2.219      -17.3967
  2.250      -17.3979
  2.281      -17.3992
  2.313      -17.4006
  2.344      -17.4020
  2.375      -17.4035
  2.407      -17.4050
  2.438      -17.4065
  2.470      -17.4080
  2.501      -17.4094
  2.532      -17.4108
  2.564      -17.4121
  2.595      -17.4132
  2.626      -17.4143
  2.658      -17.4151
  2.689      -17.4158
  2.720      -17.4163
  2.752      -17.4166
  2.783      -17.4168
  2.783      -17.4168
  2.814      -17.4167
  2.845      -17.4165
  2.877      -17.4161
  2.908      -17.4156
  2.939      -17.4150
  2.970      -17.4142
  3.001      -17.4134
  3.033      -17.4124
  3.064      -17.4114
  3.095      -17.4103
  3.126      -17.4091
  3.157      -17.4079
  3.189      -17.4067
  3.220      -17.4055
  3.251      -17.4043
  3.282      -17.4031
  3.313      -17.4019
  3.345      -17.4008
  3.376      -17.3997
  3.407      -17.3987
  3.438      -17.3978
  3.469      -17.3970
  3.501      -17.3962
  3.532      -17.3955
  3.563      -17.3949
  3.594      -17.3944
  3.625      -17.3940
  3.657      -17.3936
  3.688      -17.3934
  3.719      -17.3932
  3.750      -17.3931
  3.781      -17.3930
  3.781      -17.3930
  3.813      -17.3929
  3.844      -17.3926
  3.875      -17.3921
  3.907      -17.3913
  3.938      -17.3904
  3.969      -17.3892
  4.001      -17.3878
  4.032      -17.3863
  4.064      -17.3846
  4.095      -17.3827
  4.126      -17.3808
  4.158      -17.3788
  4.189      -17.3767
  4.220      -17.3746
  4.252      -17.3726
  4.283      -17.3707
  4.314      -17.3688
  4.346      -17.3671
  4.377      -17.3656
  4.408      -17.3643
  4.440      -17.3631
  4.471      -17.3622
  4.502      -17.3615
  4.534      -17.3610
  4.565      -17.3607
  4.597      -17.3606
  4.597      -17.3606
  4.629      -17.3605
  4.661      -17.3605
  4.693      -17.3604
  4.725      -17.3603
  4.757      -17.3602
  4.789      -17.3600
  4.821      -17.3598
  4.853      -17.3596
  4.885      -17.3594
  4.917      -17.3591
  4.949      -17.3588
  4.981      -17.3585
  5.013      -17.3582
  5.045      -17.3578
  5.077      -17.3575
  5.109      -17.3573
  5.141      -17.3571
  5.173      -17.3571
#Band-index    4
  5.173      -17.3473
  5.141      -17.3472
  5.109      -17.3468
  5.077      -17.3462
  5.045      -17.3454
  5.013      -17.3444
  4.981      -17.3433
  4.949      -17.3421
  4.917      -17.3409
  4.885      -17.3395
  4.853      -17.3382
  4.821      -17.3368
  4.789      -17.3355
  4.757      -17.3343
  4.725      -17.3331
  4.693      -17.3321
  4.661      -17.3314
  4.629      -17.3309
  4.597      -17.3307
  4.597      -17.3307
  4.565      -17.3306
  4.534      -17.3305
  4.502      -17.3302
  4.471      -17.3298
  4.440      -17.3292
  4.408      -17.3286
  4.377      -17.3278
  4.346      -17.3269
  4.314      -17.3259
  4.283      -17.3248
  4.252      -17.3237
  4.220      -17.3225
  4.189      -17.3213
  4.158      -17.3200
  4.126      -17.3188
  4.095      -17.3175
  4.064      -17.3164
  4.032      -17.3153
  4.001      -17.3143
  3.969      -17.3133
  3.938      -17.3125
  3.907      -17.3118
  3.875      -17.3113
  3.844      -17.3109
  3.813      -17.3107
  3.781      -17.3106
  3.781      -17.3106
  3.750      -17.3106
  3.719      -17.3107
  3.688      -17.3108
  3.657      -17.3111
  3.625      -17.3114
  3.594      -17.3117
  3.563      -17.3120
  3.532      -17.3124
  3.501      -17.3128
  3.469      -17.3132
  3.438      -17.3136
  3.407      -17.3140
  3.376      -17.3143
  3.345      -17.3147
  3.313      -17.3150
  3.282      -17.3152
  3.251      -17.3154
  3.220      -17.3156
  3.189      -17.3158
  3.157      -17.3159
  3.126      -17.3160
  3.095      -17.3160
  3.064      -17.3160
  3.033      -17.3161
  3.001      -17.3160
  2.970      -17.3160
  2.939      -17.3160
  2.908      -17.3160
  2.877      -17.3159
  2.845      -17.3159
  2.814      -17.3159
  2.783      -17.3160
  2.783      -17.3160
  2.752      -17.3159
  2.720      -17.3160
  2.689      -17.3161
  2.658      -17.3163
  2.626      -17.3165
  2.595      -17.3167
  2.564      -17.3169
  2.532      -17.3172
  2.501      -17.3175
  2.470      -17.3178
  2.438      -17.3181
  2.407      -17.3184
  2.375      -17.3186
  2.344      -17.3189
  2.313      -17.3191
  2.281      -17.3192
  2.250      -17.3194
  2.219      -17.3194
  2.187      -17.3194
  2.156      -17.3193
  2.125      -17.3192
  2.093      -17.3190
  2.062      -17.3187
  2.031      -17.3184
  1.999      -17.3179
  1.968      -17.3174
  1.937      -17.3168
  1.905      -17.3168
  1.874      -17.3179
  1.843      -17.3191
  1.811      -17.3205
  1.780      -17.3220
  1.748      -17.3235
  1.717      -17.3251
  1.686      -17.3268
  1.654      -17.3285
  1.623      -17.3302
  1.592      -17.3319
  1.560      -17.3336
  1.560      -17.3336
  1.526      -17.3354
  1.492      -17.3371
  1.458      -17.3388
  1.424      -17.3403
  1.391      -17.3417
  1.357      -17.3430
  1.323      -17.3442
  1.289      -17.3452
  1.255      -17.3461
  1.221      -17.3467
  1.187      -17.3472
  1.153      -17.3473
  1.153      -17.3473
  1.122      -17.3472
  1.090      -17.3470
  1.059      -17.3467
  1.028      -17.3463
  0.997      -17.3457
  0.966      -17.3450
  0.935      -17.3442
  0.904      -17.3433
  0.872      -17.3423
  0.841      -17.3412
  0.810      -17.3400
  0.779      -17.3388
  0.748      -17.3375
  0.717      -17.3362
  0.685      -17.3348
  0.654      -17.3334
  0.623      -17.3320
  0.592      -17.3307
  0.561      -17.3293
  0.530      -17.3280
  0.498      -17.3267
  0.467      -17.3255
  0.436      -17.3243
  0.405      -17.3232
  0.374      -17.3221
  0.343      -17.3211
  0.312      -17.3202
  0.280      -17.3194
  0.249      -17.3187
  0.218      -17.3180
  0.187      -17.3174
  0.156      -17.3170
  0.125      -17.3166
  0.093      -17.3163
  0.062      -17.3161
  0.031      -17.3159
  0.000      -17.3160
#Band-index    5
  0.000      -17.3160
  0.031      -17.3159
  0.062      -17.3158
  0.093      -17.3156
  0.125      -17.3154
  0.156      -17.3150
  0.187      -17.3147
  0.218      -17.3143
  0.249      -17.3138
  0.280      -17.3133
  0.312      -17.3127
  0.343      -17.3121
  0.374      -17.3114
  0.405      -17.3107
  0.436      -17.3100
  0.467      -17.3092
  0.498      -17.3085
  0.530      -17.3077
  0.561      -17.3069
  0.592      -17.3061
  0.623      -17.3053
  0.654      -17.3045
  0.685      -17.3037
  0.717      -17.3030
  0.748      -17.3022
  0.779      -17.3015
  0.810      -17.3008
  0.841      -17.3002
  0.872      -17.2996
  0.904      -17.2991
  0.935      -17.2986
  0.966      -17.2982
  0.997      -17.2978
  1.028      -17.2975
  1.059      -17.2973
  1.090      -17.2971
  1.122      -17.2970
  1.153      -17.2970
  1.153      -17.2970
  1.187      -17.2971
  1.221      -17.2973
  1.255      -17.2976
  1.289      -17.2980
  1.323      -17.2986
  1.357      -17.2993
  1.391      -17.3002
  1.424      -17.3011
  1.458      -17.3021
  1.492      -17.3031
  1.526      -17.3042
  1.560      -17.3054
  1.560      -17.3054
  1.592      -17.3064
  1.623      -17.3075
  1.654      -17.3086
  1.686      -17.3096
  1.717      -17.3107
  1.748      -17.3117
  1.780      -17.3128
  1.811      -17.3137
  1.843      -17.3145
  1.874      -17.3153
  1.905      -17.3161
  1.937      -17.3158
  1.968      -17.3149
  1.999      -17.3142
  2.031      -17.3136
  2.062      -17.3132
  2.093      -17.3128
  2.125      -17.3126
  2.156      -17.3125
  2.187      -17.3125
  2.219      -17.3126
  2.250      -17.3127
  2.281      -17.3129
  2.313      -17.3131
  2.344      -17.3134
  2.375      -17.3137
  2.407      -17.3140
  2.438      -17.3142
