#K-Path     Energy-Level
  0.312   -17.435   -17.407   -17.407   -17.320   -17.313   -13.838    -2.138    -1.169    -1.169     3.488     4.078     5.553     5.553     8.548    10.844    11.042    13.848    13.848    14.271    19.074    23.001    23.001    25.085    25.462    26.969    29.805    29.805    31.144    33.351    33.351    34.584    36.761    38.503    38.503    39.106    40.980    41.953    42.144    42.226    42.226    44.227    44.227    44.588    46.046    46.937    47.622    47.622    48.706    48.708    49.434    49.434    50.294    50.721    50.721    51.909    53.057    53.985    53.985    55.305    56.749    60.155    60.155    60.155    61.504    63.995    68.374    69.606    69.606    71.575    72.201    72.201    74.216    74.720    77.831    78.005    78.672    78.673    80.253    80.996    80.999    81.624    82.697    82.697    84.412    84.800    85.084    86.626    86.627    87.212    87.319    87.322    88.059    88.586    90.177    90.184    90.426    91.636    91.648    91.650    92.257    92.486    93.111    94.924    94.937    95.069    96.088    96.759    97.807    97.983    98.911    99.195    99.215    99.320   100.369   101.200   101.259   102.245   104.724   105.042   105.566   106.014   106.402   106.956   107.236   107.843   109.282   109.754   110.382   111.529   112.484   115.025   116.416   117.181   118.037   119.660   119.855   120.563   121.737   122.323   123.889   125.018   126.213   128.609   129.689
  0.343   -17.439   -17.405   -17.405   -17.321   -17.312   -13.768    -2.388    -1.293    -1.293     3.390     4.216     5.756     5.756     8.365    10.908    11.312    13.990    13.990    14.405    19.540    22.590    22.590    24.783    25.051    26.963    29.894    29.895    31.214    33.666    33.666    34.964    36.329    38.059    38.059    38.835    41.040    41.695    41.939    41.939    41.981    44.006    44.006    44.588    45.921    46.968    47.873    47.873    48.646    48.949    49.286    49.286    50.555    50.977    50.977    52.200    53.188    54.714    54.714    55.643    57.340    60.102    60.803    60.803    61.297    64.442    68.135    69.100    69.100    71.480    72.182    72.182    74.109    74.362    77.197    77.860    78.306    78.307    79.670    80.614    80.617    81.642    82.014    82.014    83.552    84.652    85.180    86.569    86.574    87.003    87.362    87.366    88.011    88.962    90.308    90.311    90.483    91.721    91.725    91.729    92.402    92.708    93.169    95.061    95.183    95.226    96.625    97.268    97.855    97.888    98.849    99.606    99.816    99.976   101.018   101.263   101.435   101.483   104.763   104.975   105.363   105.759   106.429   106.915   107.432   108.001   108.903   109.323   109.872   110.943   112.607   113.883   115.015   116.510   117.214   118.736   119.840   120.564   121.761   122.732   123.548   124.331   125.779   127.758   130.282
  0.374   -17.443   -17.403   -17.403   -17.322   -17.311   -13.692    -2.641    -1.420    -1.420     3.279     4.339     5.967     5.967     8.219    10.977    11.595    14.145    14.145    14.544    20.023    22.180    22.180    24.470    24.646    26.972    29.986    29.986    31.232    33.902    33.902    35.317    35.935    37.697    37.697    38.481    41.130    41.314    41.663    41.663    42.019    43.794    43.794    44.599    45.795    46.952    48.009    48.009    48.551    49.215    49.215    49.215    50.827    51.303    51.303    52.502    53.396    55.449    55.449    55.979    57.895    59.517    61.457    61.457    61.691    64.933    67.853    68.563    68.563    71.363    72.201    72.201    73.986    74.039    76.559    77.679    77.854    77.855    79.080    80.188    80.189    81.417    81.424    81.425    82.681    84.494    85.531    86.354    86.354    86.698    87.493    87.493    87.963    89.420    90.549    90.556    90.567    91.810    91.821    91.861    92.444    92.963    93.256    95.043    95.440    95.477    97.125    97.607    97.714    97.773    98.679    99.881   100.317   100.561   101.143   101.605   101.853   101.949   104.213   104.512   105.276   106.277   106.577   107.072   107.328   108.498   108.684   109.454   109.651   111.393   112.871   113.689   114.894   116.977   117.336   118.532   119.396   120.357   121.031   123.046   123.353   124.867   125.917   128.551   130.218
  0.405   -17.446   -17.401   -17.401   -17.323   -17.311   -13.609    -2.897    -1.546    -1.546     3.163     4.432     6.186     6.186     8.120    11.053    11.888    14.313    14.313    14.690    20.520    21.772    21.772    24.155    24.247    26.993    30.079    30.080    31.192    34.010    34.010    35.595    35.637    37.467    37.467    38.054    40.976    41.259    41.398    41.399    42.079    43.590    43.590    44.624    45.669    46.879    47.961    47.961    48.476    49.324    49.324    49.501    51.072    51.661    51.661    52.814    53.677    56.186    56.186    56.328    58.090    59.188    62.114    62.114    62.231    65.453    67.529    68.014    68.014    71.224    72.247    72.247    73.778    73.820    75.919    77.338    77.340    77.491    78.511    79.653    79.654    80.984    80.985    81.016    81.813    84.323    86.028    86.029    86.041    86.353    87.664    87.666    87.965    89.885    90.708    90.860    90.878    91.915    91.938    91.947    92.372    93.233    93.417    95.039    95.702    95.766    96.995    97.071    97.939    98.092    98.687    99.836   101.124   101.313   101.820   102.237   102.327   102.838   104.056   104.428   104.507   105.628   106.811   107.225   108.082   108.311   108.969   109.559   110.297   110.651   111.543   113.518   115.127   116.143   117.377   119.083   119.776   121.796   122.061   123.536   124.074   125.438   125.992   128.326   130.963
  0.436   -17.450   -17.399   -17.399   -17.324   -17.310   -13.521    -3.153    -1.672    -1.672     3.048     4.486     6.411     6.411     8.073    11.134    12.190    14.494    14.494    14.844    21.024    21.368    21.368    23.841    23.855    27.023    30.176    30.177    31.084    33.946    33.946    35.317    35.920    37.408    37.408    37.572    40.676    41.146    41.146    41.429    42.149    43.395    43.395    44.663    45.546    46.750    47.776    47.776    48.440    49.581    49.581    49.805    51.283    52.038    52.038    53.135    54.014    56.688    56.925    56.925    57.559    59.594    62.763    62.764    62.812    65.991    67.165    67.468    67.470    71.064    72.310    72.311    73.532    73.658    75.280    76.773    76.773    77.297    77.989    79.016    79.017    80.574    80.650    80.677    80.943    84.138    85.677    85.679    85.990    86.421    87.861    87.862    88.111    90.326    90.829    91.215    91.224    92.049    92.060    92.122    92.218    93.549    93.619    95.157    95.902    95.929    96.432    96.579    98.108    98.380    98.773   100.045   101.680   101.742   102.168   102.920   103.039   103.384   103.620   104.126   104.356   105.623   106.750   107.297   107.644   108.490   109.037   109.833   110.769   111.134   111.896   113.242   114.833   116.149   117.865   118.493   120.042   121.175   121.880   122.502   123.825   125.252   126.486   127.849   129.293
  0.467   -17.454   -17.396   -17.396   -17.325   -17.309   -13.427    -3.409    -1.797    -1.796     2.934     4.496     6.643     6.644     8.081    11.222    12.499    14.687    14.687    15.007    20.970    20.970    21.527    23.469    23.538    27.062    30.278    30.278    30.905    33.716    33.716    35.107    36.171    37.050    37.518    37.518    40.407    40.911    40.911    41.645    42.217    43.210    43.210    44.715    45.427    46.573    47.537    47.537    48.452    49.918    49.918    50.134    51.464    52.432    52.432    53.468    54.390    56.710    57.202    57.671    57.671    60.219    63.388    63.389    63.413    66.539    66.759    66.967    66.967    70.880    72.388    72.388    73.326    73.474    74.645    76.180    76.181    77.025    77.585    78.324    78.325    80.025    80.102    80.458    80.458    83.946    85.295    85.296    85.630    86.609    88.063    88.064    88.490    90.805    90.957    91.561    91.565    92.026    92.094    92.216    92.227    93.678    93.968    95.170    95.582    95.627    96.392    96.413    97.785    98.570    98.968   100.222   101.744   102.086   102.481   102.872   103.298   103.689   103.823   103.983   104.276   104.811   106.280   106.594   106.948   107.905   109.089   109.772   110.613   111.782   112.682   113.414   114.204   115.209   116.773   118.315   119.661   120.755   122.172   123.016   123.790   126.072   126.465   127.860   128.890
  0.498   -17.458   -17.394   -17.394   -17.327   -17.308   -13.327    -3.666    -1.919    -1.919     2.824     4.463     6.879     6.880     8.144    11.314    12.813    14.893    14.893    15.179    20.575    20.575    22.007    23.091    23.270    27.106    30.382    30.382    30.657    33.350    33.350    34.964    36.372    36.502    37.747    37.747    40.159    40.693    40.693    41.907    42.274    43.035    43.035    44.780    45.313    46.361    47.278    47.278    48.499    50.286    50.286    50.470    51.609    52.832    52.832    53.804    54.775    56.008    57.594    58.407    58.407    60.881    63.928    63.928    64.024    66.319    66.546    66.546    67.083    70.676    72.472    72.473    73.145    73.272    74.022    75.566    75.566    76.619    77.354    77.612    77.612    79.268    79.506    80.279    80.279    83.738    84.887    84.889    85.266    86.597    88.265    88.266    88.969    91.054    91.126    91.859    91.862    91.868    92.191    92.357    92.360    93.771    94.429    95.033    95.074    95.292    96.703    96.820    97.642    98.376    99.695   100.726   101.961   102.051   102.169   103.492   103.708   103.993   104.134   104.303   104.821   105.121   105.806   105.906   106.920   108.041   108.857   109.014   109.628   111.256   112.315   113.929   115.825   116.983   117.567   118.846   119.435   121.563   121.847   122.381   123.584   125.753   126.726   127.554   129.468
  0.530   -17.462   -17.391   -17.391   -17.328   -17.308   -13.222    -3.922    -2.038    -2.038     2.717     4.392     7.120     7.120     8.256    11.411    13.131    15.110    15.110    15.362    20.187    20.187    22.355    22.720    23.140    27.157    30.350    30.490    30.490    32.901    32.901    34.880    35.938    36.534    38.034    38.034    39.928    40.508    40.508    42.213    42.314    42.871    42.871    44.855    45.205    46.128    47.020    47.020    48.579    50.674    50.674    50.821    51.713    53.240    53.240    54.148    55.153    55.314    58.062    59.139    59.139    61.558    64.244    64.244    64.644    65.850    66.360    66.361    67.608    70.459    72.559    72.560    72.940    73.068    73.450    74.941    74.941    76.152    76.902    76.903    77.227    78.452    79.008    80.123    80.126    83.525    84.473    84.475    84.907    86.486    88.461    88.462    89.324    91.035    91.395    91.901    92.107    92.111    92.299    92.332    92.359    93.780    94.620    94.623    94.913    95.441    97.054    97.087    97.473    98.000   100.323   100.975   101.803   101.994   102.371   103.709   104.084   104.352   104.585   104.809   105.251   105.423   105.554   105.951   107.487   108.435   108.764   109.255   110.258   111.611   112.638   114.548   115.232   116.746   117.376   118.175   120.148   120.367   121.668   122.858   124.887   125.956   127.760   128.716   131.096
  0.561   -17.466   -17.389   -17.389   -17.329   -17.307   -13.112    -4.178    -2.154    -2.154     2.616     4.291     7.364     7.364     8.409    11.513    13.449    15.338    15.338    15.557    19.805    19.805    22.336    22.357    23.385    27.216    29.996    30.602    30.602    32.404    32.404    34.844    35.367    36.659    38.321    38.321    39.712    40.377    40.377    42.335    42.559    42.720    42.720    44.934    45.107    45.883    46.769    46.769    48.683    51.077    51.077    51.185    51.745    53.656    53.656    54.499    54.690    55.540    58.566    59.860    59.860    62.240    64.179    64.179    65.266    65.356    66.575    66.575    68.081    70.247    72.554    72.636    72.636    72.872    73.081    74.321    74.321    75.684    76.201    76.202    77.156    77.658    78.543    79.984    79.984    83.306    84.057    84.063    84.554    86.326    88.641    88.642    89.350    90.991    91.613    92.063    92.075    92.244    92.326    92.334    92.399    93.753    94.518    94.522    95.457    95.498    97.229    97.464    97.536    97.828   100.632   100.940   101.335   101.393   102.326   103.255   103.948   104.132   104.537   104.721   105.378   105.625   105.986   106.507   106.868   107.730   108.714   109.320   110.877   111.238   112.288   114.536   115.386   116.468   117.045   119.276   119.687   121.339   122.780   123.651   124.596   125.935   126.819   128.717   130.393
  0.592   -17.470   -17.386   -17.386   -17.331   -17.306   -12.996    -4.432    -2.266    -2.266     2.520     4.168     7.612     7.612     8.595    11.619    13.767    15.575    15.575    15.765    19.433    19.433    22.002    22.111    23.839    27.285    29.609    30.716    30.716    31.881    31.881    34.768    34.872    36.751    38.544    38.544    39.509    40.340    40.340    42.334    42.584    42.584    42.937    45.014    45.020    45.634    46.531    46.531    48.800    51.491    51.491    51.562    51.661    54.077    54.078    54.232    54.855    55.906    59.097    60.561    60.561    62.924    63.837    63.838    64.842    65.882    67.092    67.092    68.442    70.079    71.980    72.669    72.673    72.694    72.907    73.736    73.736    75.241    75.527    75.528    76.900    77.102    78.126    79.853    79.855    83.084    83.645    83.647    84.214    86.131    88.790    88.792    89.041    91.028    91.599    91.602    91.786    92.518    92.525    92.531    92.717    93.636    94.681    94.693    95.583    95.993    96.938    97.818    97.879    97.890   100.385   100.884   101.141   101.590   102.557   102.800   103.269   103.508   104.240   105.261   105.647   106.366   106.464   107.096   107.261   107.947   108.146   109.215   110.010   111.655   112.715   115.739   116.342   116.998   117.604   118.500   120.678   121.674   122.690   124.215   125.917   126.579   128.427   129.871   132.962
